#TEST-DATA-START;;;
#P00:TestType                  :  2 (Frequency-Sweep Constant Amplitude);;;
#P01:Date                      : 2035.01.18;;;
#P02:Time                      : 08:57:01;;;
#P03:Amplitude                 :           0,100 mm;;;
#P04:Start-Frequency           :           150,0 Hz;;;
#P05:End-Frequency             :           350,0 Hz;;;
#P06:Frequeny-Step             :             1,0 Hz;;;
#P07:Frequeny-Rate             :             1,0 Hz/s;;;
#P08:Preload                   : (Position)               0,0 mm;;;
#P09:Prufling                  : Tilger  ;;;
# Prueflingsnummer             : Tilger_1;;;
# Teilenummer                  : ;;;
# Auftraggeber/Abteilung       : Max Mustermann/EF-XXX;;;
# Prod.Datum                   : ;;;
# Herstellerinformation        : ;;;
# Temperatur                   : RT;;;
# Richtung                     : Radial;;;
# Fsu/Fso                      : ;;;
# Kommentar 1                  : 250Hz ;;;
# Kommentar 2                  : ;;;
#P10:Input-Signal              : Analog Input -14;;;
#P11:Input-Signal-Unit         : -;;;
#P12:Output-Signal             : Analog Input -14;;;
#P13:Output-Signal-Unit        : -;;;
#P14:Benutzer                  : Max Mustermann, EF-XXX;;;
#P15:Prüfstand                 : BMW-001;;;
#Point Nr.; Freq.;FRFMag;FRFPhase
144;1,580645161;7,875718;163,584687
145;1,586021505;7,789174;163,808457
146;1,591397849;7,703581;164,020738
147;1,596774194;7,619082;164,224888
148;1,602150538;7,533294;164,43238
149;1,607526882;7,450988;164,621834
150;1,612903226;7,368455;164,794739
151;1,61827957;7,287976;164,971461
152;1,623655914;7,208142;165,13412
153;1,629032258;7,128921;165,285021
154;1,634408602;7,051169;165,432139
155;1,639784946;6,975872;165,569105
156;1,64516129;6,900269;165,704352
157;1,650537634;6,827266;165,829601
158;1,655913978;6,753928;165,953356
159;1,661290323;6,682954;166,065181
160;1,666666667;6,611336;166,182493
161;1,672043011;6,542055;166,291853
162;1,677419355;6,473373;166,39521
163;1,682795699;6,406191;166,498628
164;1,688172043;6,341527;166,59443
165;1,693548387;6,27524;166,687791
166;1,698924731;6,211707;166,772788
167;1,704301075;6,149509;166,862232
168;1,709677419;6,087758;166,946976
169;1,715053763;6,028268;167,024
170;1,720430108;5,968754;167,096918
171;1,725806452;5,909732;167,175578
172;1,731182796;5,852458;167,24697
173;1,73655914;5,795724;167,323323
174;1,741935484;5,739541;167,388498
175;1,747311828;5,684063;167,456623
176;1,752688172;5,62994;167,519972
177;1,758064516;5,576864;167,59058
178;1,76344086;5,524148;167,651399
179;1,768817204;5,471921;167,711007
180;1,774193548;5,419562;167,761228
181;1,779569892;5,369467;167,819157
182;1,784946237;5,318972;167,85486
183;1,790322581;5,269613;167,888665
184;1,795698925;5,221638;167,917602
185;1,801075269;5,174968;167,944813
186;1,806451613;5,128796;167,984049
187;1,811827957;5,08134;168,025912
188;1,817204301;5,034254;168,072859
189;1,822580645;4,987153;168,118144
190;1,827956989;4,93948;168,153986
191;1,833333333;4,892093;168,183975
192;1,838709677;4,84491;168,203025
193;1,844086022;4,79802;168,202483
194;1,849462366;4,750931;168,148703
195;1,85483871;4,706736;168,047979
196;1,860215054;4,669218;167,900931
197;1,865591398;4,637752;167,776784
198;1,870967742;4,602352;167,720835
199;1,876344086;4,5612;167,682483
200;1,88172043;4,515677;167,503465
#TEST-DATA-END;;;
